"Taxa","weight","B11","Na23","Mg25","Al27","P31","S34","K39","Ca43","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","As75","Se82","Rb85","Sr88","Mo98","Cd111"
"C123",2.22243250435657,1.28847154547824,1.86067091042436,0.353518542989856,2.37786955560971,2.72469406706866,2.11583089371523,3.20005003209882,2.31709790278408,1.73661631168912,1.04524366435913,6.71292390532932,4.35283209356585,1.8147643763747,1.86600816354237,3.55863799002926,2.70636575361705,4.02627969367256,3.1297057145099,2.57146976604255,4.67754379541051
"CH701-30",2.00060770962947,1.60321965534446,1.3980747981013,4.5002820779296,0.95419797177639,2.7814186472315,4.02821514687248,2.44589082747114,3.23345410975231,3.50362839264685,2.54522757281007,7.46519320129547,4.84641573395362,2.42039925430609,3.39200260396896,4.39334671885289,3.19289045852671,4.73962102311204,2.75088375659477,2.85182190336837,3.44740358120843
"CH9",2.31122948619589,1.59861444476935,2.41573262730974,3.17629530611905,1.45637312011273,3.8392003108001,4.82373706345245,3.27288919526653,4.63640065167219,3.00081060294051,1.70183419621044,6.13672854574359,4.43594829629641,1.38267267132295,3.36861722448464,3.62745318075713,2.27529213020734,2.79421246481816,4.47230827949817,2.68387955025714,2.36946961512504
"CI.7",1.08704377850158,3.22223984212764,1.46056070704992,2.20944736242869,2.13316074491454,2.40937371440331,4.16654154538709,3.47108202449673,3.80089986223786,3.90746914184195,1.74686289195106,6.05155518814203,5.79792523364555,2.68159855537861,3.72078546974839,4.70551843519142,3.86311962745687,5.11869337177314,3.18096295452848,1.6309930770794,4.23978084618301
"CI187-2",3.33792559216325,2.7668939166701,3.2938178729655,4.48595432135004,1.51424136005806,1.93492372879074,2.82889749213733,1.13254675077166,3.64427733634368,3.58970428831466,2.11020507118167,4.91901397325459,3.59724671858961,3.17656031291801,2.57202086026905,3.47637449716582,2.84010048575374,2.21546469774877,2.92855938425641,3.4592845174871,4.35677692761464
"CI21E",1.81489155663524,1.9380655804841,2.23929377842931,3.4464941519892,3.05647412923862,1.89054019581618,3.37483604146398,1.89088020396118,3.55848547822445,2.18431001127906,2.32293091504511,5.51107960530951,4.39934625196182,3.12218185926974,2.77861192094524,4.30238604040321,3.76565638151717,4.64437700419106,3.75426911411621,4.09079117035841,3.72209981784636
"CI28A",1.57126509585047,2.59345102152645,3.93828724575058,2.82075025715737,3.13661665943189,3.46926014921346,2.34772149667872,3.04526078386878,1.31577703684743,2.26079514402305,2.86152579438223,5.83114519949449,5.17249678106616,2.54326373565508,1.94407474948596,4.52819799370331,3.61276228628712,3.59699874670697,1.74084559346384,1.92064113422083,4.74843275536913
"CI3A",3.15493513765977,1.08775207992534,0.812085578730515,1.98386614291398,0.925546365283713,2.5781882673251,4.63959259466965,2.55296560897072,1.3130252128607,1.89954869369521,1.69606234902316,0.001,3.70277255438523,3.99903558534008,2.02397123784768,2.53169931221036,0.757280867513361,3.24923714320005,0.589235344485184,2.15910474227362,2.25470652923168
"CI64",2.68031063211932,4.70249719885142,3.56781757809133,2.70648956338691,1.34994076768347,4.19448676860375,4.84786512305714,1.41021176330741,3.63219451928815,3.73169592344559,1.3353219579719,3.95041969837921,3.96562268641938,2.08690151927685,2.11252365467679,3.51568794723643,2.1049360873929,3.15788220611932,3.60242952157433,2.91766714942925,4.63144473463307
"CI90C",1.26522210056168,3.76468307106917,2.30010909078414,2.82239163652852,2.05340627011706,1.20416846103476,4.50400919582064,1.85453217224623,3.75640221911138,3.66423971950243,1.18705395827324,3.8982647520479,5.56273083591164,1.68155368945732,1.23362023308838,4.84124101255909,3.09694882870832,2.97520160920099,4.37152791326564,2.83372683697468,4.47462666720801
"CM37",0.922761942708334,3.92914985111158,3.88728960132656,4.12589865254615,1.99946277116093,3.66781488933817,5.88404452831802,2.88966170683225,4.473769060017,4.00907947682115,4.27081789871354,6.06242429768387,6.01177742964807,3.93879649912931,3.34568263037156,5.02227401242237,4.10942666600165,2.44342073738979,4.45408224929873,1.77965388097528,5.72914245302248
"CM7",2.21319650443468,2.447440455082,2.29466727633603,4.3108369837666,2.32309519859563,3.61494726587652,3.82579840051878,2.38700504285506,3.41574821062754,1.81476403340778,1.59745095148839,5.72794206008975,4.02706662662438,2.76793127720954,2.64078312379016,3.78367567381763,2.81656692242925,2.6356382638323,3.52967972624642,3.54039712332662,2.16963989987622
"CML10",2.30425836523573,1.74767416752111,2.72660756459,2.39255415512073,2.67284050967701,2.33268751741681,3.07344772676202,2.24328878705719,3.72603378367838,1.98634633044324,1.71703788895047,6.73644309566152,3.72282929714042,2.80708121149226,1.04412603230546,3.69355429751679,2.63545104849147,2.05058988682726,3.5514173056223,1.62096038353533,3.61952663427603
"CML103",2.17747677242184,3.28190892941529,2.6384902427084,2.80596550597593,1.96116860251367,3.15985165366595,4.48870731601636,3.92553617423369,3.9634455701687,2.51232258021346,3.33052240371658,7.87763883093396,4.197550206091,2.51804551417848,3.68072184383206,4.18123713876659,2.63326006141424,4.83472031472675,4.04363940492836,1.85338431481451,3.36229467013323
"CML108",1.82772390981759,4.11864247746671,3.45149352845492,3.5331041600234,2.37471405381506,4.10283430680088,5.85341721128847,5.15704219178496,3.04684742860328,2.47523659908811,2.67359730878621,6.70949269184367,3.83532579799758,2.18487761958122,2.2792036377119,5.2410347778084,4.24050222937064,4.60564487819726,2.28310362052258,1.86702280214057,5.05467434650257
"CML11",3.68804254376722,1.21716649874542,2.74191575078175,3.0383477761172,1.8696371198433,1.71303229763162,2.67002334771917,1.10354121225148,3.0945252948779,2.77658039891029,0.963220680019956,6.18446392071296,2.44666015043232,1.51767787964722,0.765242651469913,2.66940562796008,1.76215335963842,2.6513070123112,2.97914086149919,2.26702976930311,2.31367181537433
"CML14",1.53444267408118,2.20721227788914,3.07524984383891,3.46580019170722,3.17619391904928,3.16828831522611,4.03973466888845,3.32255209528428,3.97787270910623,4.04897350152342,2.22881705923309,8.02807721575187,4.90923040148847,1.67987745380865,3.20857348856661,4.13630493776665,3.56139238269836,5.29474138461271,4.67779595022081,2.74903531835643,4.81922608815136
"CML154Q",1.50189116692546,3.56241801914081,2.40369319808685,3.36827176226599,0.9171461194823,3.40134161249058,4.30845485187003,3.27293423054313,4.72181623031584,3.16492946714768,1.14888380548729,4.81242867968824,4.7669968081438,2.08902944639238,1.47762064628259,4.07924488328514,3.9155697619745,5.45452261504958,3.51904468242393,4.07704425662872,4.72264157980069
"CML157Q",2.98925973184213,2.17953478989914,1.15009817443937,2.96287305821324,2.23620553203315,3.13654253392337,3.26612414877008,1.80233434721177,4.15821417909211,2.74025704547223,1.14967343523388,6.05683204149081,3.58129219497503,2.04601967099241,2.4973873548157,2.79297193297241,2.17809599287139,2.95511607186402,4.26329004251204,0.001,4.35006458872524
"CML158Q",1.90849702985538,2.94586390277023,2.63994471443138,2.7215337411137,1.43059471406005,3.19636976430993,4.53307921884287,3.44561510360877,5.39285553219656,3.04854183390567,0.819750899617196,4.19789602612646,3.25764993125614,2.20808332053457,2.21225520111297,3.98986748567981,3.33241329944917,3.68120795586307,5.00877723760602,4.22619590136385,4.96611676675481
"CML220",3.03441220194862,3.03599517522466,3.23151071931223,1.81200560681483,1.45285619054674,2.3084446814648,1.55722799291388,2.96038391677014,3.93329069331196,0.143828123955407,3.0331983424325,9.38538400678789,4.45434649820504,2.76798232923801,3.72145692137672,3.19269032133386,2.46541584555677,3.10247514239135,3.84755809110983,2.38561026365432,3.93825555224389
"CML228",1.75722891482987,5.8582474913208,3.31507302863699,0.941664663125923,3.77894397848047,5.25734100177984,7.34513140692228,4.00577808934304,8.64851790180615,3.80495401696575,3.93534715155115,13.6382083223957,7.10542027929265,3.08097541779297,1.7705170962098,6.39771727608645,6.42116770157437,4.77832317537842,4.23664064755506,4.12307424423278,6.15628231170672
"CML238",2.60034177589537,1.99022099493993,2.57923771949797,2.48562020176951,1.30694042879655,3.70518290304745,3.79151746908905,3.2453885539363,4.79914636495968,3.17843915785653,0.596743005791792,6.1474413272796,4.19323018144477,0.812058357029668,1.06038863497898,3.17673228250986,2.12744282476767,4.0353408974985,4.42157865773854,2.72061431308187,2.76833104282754
"CML247",2.3805927696015,2.17011586469613,2.17184367059095,2.71723042066672,2.08271424131197,3.88658185317874,3.50354774350236,3.4043423254954,4.1536318378092,3.53213368205794,1.45904923187155,6.90256645597518,4.62863596028916,3.26030410355365,3.41253394552682,3.28502036174571,2.37418941377389,3.91233395278069,3.62911998787428,3.64194214104252,3.17913730893724
"CML254",1.59820833129141,2.90130610416354,2.46844654586097,3.38548651449317,3.15546216904659,4.03073251491334,5.07200537398291,3.35715932284282,2.21354703169046,3.77431755052012,2.49396969762178,5.18860073389198,4.33577007330207,1.62971548432744,2.25336319132818,4.57129720157235,3.07704168335055,4.70599900960945,1.1687518923782,2.5080242610161,3.04087033573199
"CML258",2.3145748398831,2.43115309363722,1.3824572510776,2.77769314308221,1.29365769279544,2.64843128222422,2.25829082217707,1.45409998944673,4.11370611902622,2.67451433370201,1.3506882560867,5.73871638791563,3.27999272249091,2.31222295184702,0.900679427240196,3.71263100723944,3.28458758735767,2.93195536920865,4.06407463639729,1.77345019202714,3.08280466033699
"CML261",1.81148933585722,2.05435061440635,1.03425033549786,3.45685045543279,1.38737106194956,3.36433534604122,4.19051933435794,2.58584205153674,3.36364361489732,3.12156783330072,2.57839283391952,7.75422343878614,3.73230389261232,3.01152094444944,2.54993159129497,4.0691259542173,3.04530501557917,3.49835563371074,3.26491794292133,3.37527717904969,2.58143031694604
"CML264",2.92964341132717,2.18540861365278,1.55835063954652,3.48045626545252,1.35426754320457,2.77563666081331,4.19350453980154,1.59590674490628,2.10044479164246,2.17003610572168,1.97251757530064,5.83139621540731,4.48819681670851,4.06470276119529,2.70629564913348,3.11220673169668,3.29028988995797,3.52973274151946,1.59833218411111,2.61284458931629,2.46453107520035
"CML277",2.95291852331718,2.03597040249266,1.95508050746604,1.01092199090824,1.32232862167369,2.69940067550991,1.90930226923733,1.5231910666989,3.08705985397033,2.141957344585,1.01931694092109,6.38047192998483,3.25783435056183,0.833011758427408,1.56993245968346,3.12937857660526,1.77060211120566,1.72023444549799,2.45302056863849,2.77801989631429,3.57159803689775
"CML281",2.32085571201682,2.86458141603085,1.86620888963682,3.13697686793698,3.24741766771163,2.2938434712219,4.40898223885385,2.93401083307866,3.72179070287679,2.29977014601834,2.63007108657071,6.12733609633325,3.96041504962498,1.12917076080556,1.9031740640357,3.59014847602841,2.57618387004204,3.82147797754325,3.12630386435311,2.09306991457762,2.22037028157151
"CML311",2.04855254998836,1.91431746930506,1.87585458525533,2.98448060396836,2.41279848699133,3.140007101829,3.67356940657125,3.54665051333363,4.45659474343892,3.22049522568672,3.03481634890941,6.97226465855279,4.38052956672072,3.69251142311221,2.76645789787462,3.68420042850948,0.868864941851331,4.82577509811856,4.03006208710073,0.699956452439445,2.38778373476084
"CML314",2.67720843426869,2.72172443897041,3.24801415007345,1.80910462213753,2.76125275952212,1.67509707526747,2.91053326373374,2.43487933538056,2.98654913270582,1.59596558792418,1.46816762449738,6.35174262531914,3.3914863893595,2.93995091804569,1.64511750927187,3.34099141767069,2.14987194416634,3.3892421128052,2.88398892065092,2.39476667052936,3.66428396471104
"CML321",1.62206113448673,3.51506124660274,3.0330094977949,3.13416958380186,1.10815155053135,3.03766444220094,4.5877026941995,2.83029373471556,3.51010987584725,3.14687011017459,2.99776861456047,7.0022274168222,4.65501421067335,2.04470250237715,2.38279085474812,3.90834571540629,3.96904469920198,3.58001022092534,3.79766321476747,1.88759113729168,3.36021302798045
"CML322",1.40548870192328,3.32442559354983,3.12668171913425,2.79681202649686,2.98397937766557,3.57572573417432,4.34418127172276,3.09718770004642,4.81527519742755,3.85733363465028,2.41154318577858,6.4963179445605,5.18736283336018,4.21404795661663,3.48620371635363,4.77354543833796,3.85927278435577,3.39084162030381,4.85556118391731,3.96845169878816,4.48255283893024
"CML323",1.33646872161523,2.44775829485363,0.599892965758218,2.39962487789813,2.20164957323669,3.65292222363546,5.155541727524,3.37487525091611,4.33574832380476,3.01733507449991,2.93182100168947,8.87280721081515,4.17194923313526,1.51625996229403,1.78884282438842,4.44305593351082,4.14061125926177,4.84284772573473,4.39136609068433,2.40342215261957,3.54364911341168
"CML328",1.6377133109998,3.66212140213984,3.26705826622122,0.770888613341347,3.22983421652759,0.682194181037475,1.60792840187979,1.61117867087078,4.0183489925554,3.20611543043481,2.79785546588039,7.16877069168208,4.31337641421491,1.83977545055612,3.19682540842566,3.60258320514532,3.41902096240562,2.4756072347423,3.79535908944551,2.83848478811562,3.57272830594114
"CML331",3.17350126234353,2.62535905713043,3.03256569050083,3.14952460425509,1.90034706829242,2.02001234861035,4.56787639241306,2.33644657071127,3.92093749152606,1.06571094081827,2.115313520709,6.76483859638417,3.91585221558526,2.17858892341283,3.08637470542984,3.29471247748499,2.66280788230211,3.12430382878484,3.70960417039328,2.94628241731352,4.13376674905122
"CML332",3.77534594793968,1.84080787250909,0.001,3.71230744278776,1.64205442755844,3.53011589939022,5.12800107291571,3.01257317553249,2.62436718637477,4.06248636675138,2.34811435859891,6.90353818715149,4.16044333723963,3.96395818854806,3.29067706212468,0.001,0.656129192749466,2.98758330290722,2.04600262946639,3.7778283161291,4.22154898702337
"CML333",1.13895264727705,3.40883813563269,3.14248716880101,3.19091510886374,2.99542229236868,4.08241570261281,5.11653904331987,3.87843801551051,4.99861173758615,2.84794737623452,3.93947342005401,7.40112694709719,5.73803047660455,4.86652469209276,4.06682554303624,4.68399352221262,3.78284560936793,4.52348266493638,4.40463604732511,3.77038352941289,4.57574115467252
"CML341",4.50212436278523,2.96156259535766,2.45116545718292,4.10911982595421,1.07529659162383,3.64857984151942,4.14747446107359,3.64349484842246,3.73738530025959,1.47578190408449,2.60271613156192,5.10599719876219,3.17900981826783,1.08423114180448,1.47480927606739,2.34769843461286,3.13397923221354,4.28679416571636,3.5921364541819,2.99911818729862,1.29559619461816
"CML38",1.71438191502236,1.92632433904409,2.44083615429661,3.20699450481538,2.77099590381442,3.12538384980216,3.97070560786786,3.47588742358241,1.98927918483148,2.64191996770445,2.12352081914994,7.20276072319152,4.94539434832947,3.21637334696626,2.78701441415339,4.20896050781839,3.46838359673241,5.63998589640082,2.88304201214,1.01518670113865,3.20746247691993
"CML45",2.16006303227254,1.61858130740414,1.64217249954129,2.20661062984632,2.11444792605872,1.08065499390457,2.7722149620188,1.3932544143435,4.11466538374468,3.06269728058776,2.46318985498352,7.0929891552402,4.19026313189932,2.9454527569289,1.34965988535718,4.26690790918614,2.75658276253592,2.75062638413202,4.17163671235711,2.9124366655495,3.52989153966049
